Subject,age,sex,O,C,E,A,N,n_obs,n_futures
41613103035.0,48.0,female,5.0,7.0,3.5,5.0,4.0,18,4.0
42313155231.0,27.0,female,3.5,4.5,3.5,4.0,4.0,18,0.0
42313155546.0,50.0,male,5.0,5.0,5.0,4.5,2.5,18,7.0
42313161845.0,23.0,male,3.5,6.0,1.0,5.0,2.0,18,3.0
42313161934.0,22.0,female,6.5,6.5,1.0,5.0,5.0,18,1.0
42313161948.0,23.0,female,6.0,5.0,6.0,6.5,2.0,17,9.0
42313162124.0,38.0,female,3.5,4.5,1.5,6.5,2.5,14,1.0
42313162619.0,51.0,male,7.0,7.0,4.5,6.5,1.0,18,6.0
42313163350.0,19.0,female,7.0,4.5,6.0,5.5,4.0,18,5.0
42313164012.0,26.0,female,7.0,4.5,4.5,6.5,2.0,11,4.0
42313164935.0,43.0,male,7.0,7.0,5.5,5.0,1.0,15,0.0
42313165547.0,28.0,female,4.0,4.0,2.0,3.0,2.5,18,6.0
42313170946.0,21.0,female,6.5,7.0,3.0,6.5,3.0,16,5.0
42313180932.0,27.0,male,6.5,7.0,3.5,7.0,2.0,17,2.0
42313181311.0,23.0,male,4.5,4.0,4.5,3.5,4.0,18,1.0
42313184728.0,33.0,female,6.0,5.5,3.5,4.0,6.5,18,3.0
42313192227.0,22.0,male,7.0,7.0,7.0,4.0,1.0,18,4.0
42313193022.0,20.0,male,7.0,6.0,4.0,4.0,3.5,18,3.0
42313193807.0,24.0,male,5.0,6.0,3.0,3.5,2.0,18,1.0
42313212121.0,24.0,female,6.5,6.0,5.0,6.0,2.0,17,9.0
42313215958.0,67.0,female,4.0,7.0,7.0,7.0,1.0,18,2.0
42313220651.0,26.0,female,7.0,4.0,1.0,4.5,6.0,15,3.0
42313224432.0,44.0,female,5.0,6.0,3.5,7.0,2.0,16,4.0
42413072733.0,47.0,female,6.0,5.5,2.0,4.5,5.0,18,2.0
42413105019.0,31.0,male,3.5,4.0,2.5,6.0,2.5,17,7.0
42413105853.0,38.0,male,7.0,7.0,7.0,4.0,7.0,4,2.0
42413112141.0,19.0,female,7.0,5.5,4.0,5.0,4.0,18,4.0
42413152356.0,52.0,male,7.0,7.0,5.0,6.0,1.5,17,5.0
42413155832.0,22.0,female,4.0,6.0,4.5,4.0,4.0,17,7.0
42413202306.0,39.0,male,4.0,4.0,4.0,6.5,2.5,18,5.0
42413222326.0,23.0,female,7.0,5.0,3.0,6.5,4.0,17,3.0
42513091345.0,20.0,female,5.0,6.0,2.0,5.0,5.5,17,9.0
42513135718.0,19.0,male,3.5,4.0,5.0,4.0,4.0,17,7.0
42513205454.0,23.0,female,7.0,6.0,4.0,5.5,1.5,16,3.0
42613140355.0,31.0,female,5.0,6.5,3.5,7.0,2.5,17,9.0
42713062909.0,43.0,female,4.0,5.5,4.0,7.0,4.0,14,3.0
42713091308.0,45.0,female,7.0,6.5,5.5,7.0,1.0,18,10.0
42813221824.0,32.0,female,4.0,3.0,6.0,5.0,2.0,18,11.0
42913081642.0,22.0,male,5.0,5.0,4.0,6.0,2.0,15,5.0
42913085506.0,20.0,male,4.0,4.0,2.5,4.0,4.0,12,3.0
42913090138.0,20.0,female,5.5,6.0,3.5,4.5,3.0,16,7.0
42913092030.0,19.0,female,6.0,6.5,4.5,4.0,4.0,17,4.0
42913092115.0,24.0,male,5.0,4.5,5.5,4.0,5.0,12,5.0
